Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S01763,23,Female,High School,Cybersecurity,110,3,92,15,51,High,93,Auditory,3,No
S01764,33,Male,Undergraduate,Python Basics,262,2,45,10,62,Medium,43,Reading/Writing,3,No
S01765,15,Male,Undergraduate,Data Science,19,3,62,38,79,Medium,77,Reading/Writing,5,No
S01766,28,Male,High School,Web Development,166,1,93,2,52,High,44,Kinesthetic,3,No
S01767,36,Male,High School,Web Development,212,3,70,41,93,Low,84,Visual,3,No
S01768,29,Female,Postgraduate,Machine Learning,315,1,49,9,80,Medium,97,Kinesthetic,5,No
S01769,44,Female,Undergraduate,Cybersecurity,210,4,77,35,80,Medium,42,Visual,4,No
S01770,31,Male,High School,Machine Learning,460,3,35,25,56,Medium,39,Reading/Writing,4,No
S01771,31,Other,High School,Machine Learning,466,1,65,1,57,Medium,40,Reading/Writing,3,No
S01772,39,Male,Undergraduate,Cybersecurity,411,4,43,3,96,High,78,Kinesthetic,2,No
S01773,45,Male,High School,Data Science,487,1,33,34,87,Medium,70,Auditory,3,No
S01774,41,Male,High School,Python Basics,123,2,37,20,68,Low,33,Reading/Writing,2,No
S01775,30,Female,Undergraduate,Python Basics,247,4,34,12,49,Medium,38,Visual,2,No
S01776,35,Male,Postgraduate,Machine Learning,368,1,37,42,50,High,67,Auditory,2,No
S01777,35,Male,Undergraduate,Data Science,301,3,41,4,94,Low,71,Kinesthetic,2,Yes
S01778,23,Male,Postgraduate,Machine Learning,87,1,78,20,99,Medium,97,Kinesthetic,5,Yes
S01779,16,Male,Postgraduate,Data Science,324,3,41,37,86,Medium,39,Reading/Writing,5,No
S01780,32,Male,High School,Machine Learning,277,1,39,48,96,Medium,67,Kinesthetic,3,No
S01781,22,Female,Undergraduate,Cybersecurity,39,1,42,31,54,High,57,Kinesthetic,5,No
S01782,40,Male,Undergraduate,Data Science,154,4,57,36,67,Low,84,Reading/Writing,3,No
S01783,16,Female,Undergraduate,Machine Learning,181,3,91,42,51,Medium,81,Auditory,1,Yes
S01784,21,Female,Undergraduate,Machine Learning,107,3,30,13,87,High,31,Visual,4,No
S01785,49,Male,Undergraduate,Cybersecurity,415,1,65,43,44,Medium,82,Auditory,1,Yes
S01786,15,Female,Undergraduate,Data Science,237,1,87,44,43,Medium,49,Visual,5,No
S01787,41,Female,High School,Data Science,452,1,87,1,61,Medium,45,Reading/Writing,4,No
S01788,31,Female,Postgraduate,Data Science,360,4,67,25,94,Medium,64,Auditory,5,No
S01789,31,Female,High School,Cybersecurity,372,2,86,4,76,Medium,50,Visual,4,No
S01790,43,Female,Postgraduate,Web Development,356,4,37,24,52,Medium,74,Visual,2,No
S01791,38,Male,High School,Machine Learning,196,4,93,42,55,High,74,Reading/Writing,2,No
S01792,28,Female,Undergraduate,Machine Learning,441,3,43,17,50,Medium,69,Auditory,1,No
S01793,37,Female,Undergraduate,Cybersecurity,493,3,99,40,52,Low,83,Auditory,3,No
S01794,34,Male,High School,Data Science,160,1,90,1,69,Low,61,Auditory,5,No
S01795,49,Female,Undergraduate,Python Basics,367,2,68,30,48,High,35,Reading/Writing,4,Yes
S01796,25,Female,High School,Machine Learning,359,3,91,15,95,High,88,Auditory,2,Yes
S01797,21,Female,Undergraduate,Web Development,202,3,80,17,54,Medium,73,Reading/Writing,4,No
S01798,19,Female,High School,Data Science,482,2,70,40,77,Medium,88,Auditory,5,Yes
S01799,46,Female,Undergraduate,Machine Learning,477,1,88,29,46,Low,37,Auditory,3,No
S01800,36,Female,Postgraduate,Machine Learning,107,2,95,22,52,Medium,48,Reading/Writing,4,No
S01801,37,Female,High School,Data Science,69,2,50,41,45,Medium,61,Reading/Writing,4,Yes
S01802,39,Male,Undergraduate,Python Basics,111,2,59,15,69,Medium,41,Visual,2,No
S01803,39,Male,Postgraduate,Data Science,405,4,52,36,50,Medium,59,Kinesthetic,3,No
S01804,46,Male,Postgraduate,Cybersecurity,25,1,69,34,50,High,30,Auditory,2,No
S01805,31,Female,Undergraduate,Python Basics,84,3,66,25,91,Medium,69,Kinesthetic,2,No
S01806,30,Male,Postgraduate,Web Development,78,1,59,46,57,Medium,89,Kinesthetic,3,No
S01807,43,Female,High School,Machine Learning,224,1,52,25,79,Medium,47,Visual,2,No
S01808,19,Male,Undergraduate,Machine Learning,208,3,88,47,99,Medium,34,Kinesthetic,2,Yes
S01809,41,Male,High School,Machine Learning,19,4,73,49,57,Medium,48,Visual,5,Yes
S01810,26,Female,High School,Web Development,288,3,54,20,52,Medium,71,Auditory,4,Yes
S01811,23,Female,Undergraduate,Cybersecurity,53,1,34,28,56,High,50,Auditory,2,No
S01812,16,Female,Undergraduate,Data Science,420,3,34,1,54,Medium,52,Visual,4,No
S01813,28,Male,Postgraduate,Python Basics,210,1,30,46,89,Medium,58,Visual,1,No
S01814,34,Other,High School,Data Science,365,3,83,32,71,Medium,74,Reading/Writing,4,No
S01815,49,Male,Postgraduate,Cybersecurity,417,2,92,30,57,Low,59,Auditory,5,No
S01816,16,Female,High School,Web Development,150,3,98,11,81,Medium,41,Reading/Writing,5,No
S01817,25,Female,Undergraduate,Python Basics,264,3,84,19,97,Medium,60,Reading/Writing,3,No
S01818,28,Male,High School,Web Development,210,1,60,29,94,Medium,75,Reading/Writing,3,No
S01819,29,Male,High School,Machine Learning,394,1,43,37,54,Medium,74,Reading/Writing,3,No
S01820,26,Male,High School,Data Science,488,3,71,30,88,Medium,99,Auditory,1,Yes
S01821,49,Female,Undergraduate,Python Basics,344,3,83,16,60,High,30,Auditory,3,No
S01822,31,Female,Postgraduate,Web Development,204,1,73,31,92,Medium,79,Reading/Writing,4,No
S01823,29,Other,High School,Python Basics,225,4,81,31,64,High,69,Auditory,4,No
S01824,33,Female,High School,Python Basics,44,4,39,1,63,High,95,Kinesthetic,2,No
S01825,24,Other,High School,Machine Learning,394,2,82,11,82,Medium,64,Kinesthetic,2,No
S01826,17,Male,Postgraduate,Python Basics,305,3,98,15,51,High,78,Visual,1,No
S01827,35,Female,Undergraduate,Machine Learning,45,1,94,38,54,Medium,54,Auditory,1,No
S01828,28,Male,Postgraduate,Web Development,416,3,49,23,73,Medium,94,Visual,4,No
S01829,15,Female,Undergraduate,Web Development,236,4,63,45,41,Low,39,Auditory,1,No
S01830,40,Male,Undergraduate,Machine Learning,414,4,44,43,66,Medium,66,Visual,5,No
S01831,37,Male,Undergraduate,Data Science,167,1,82,4,83,Medium,92,Reading/Writing,2,Yes
S01832,39,Other,Undergraduate,Python Basics,360,3,73,10,63,High,46,Auditory,3,Yes
S01833,43,Female,Undergraduate,Cybersecurity,379,3,51,14,42,Low,78,Auditory,4,No
S01834,40,Female,High School,Web Development,463,3,61,45,60,Low,96,Kinesthetic,1,No
S01835,23,Other,Undergraduate,Data Science,108,3,45,29,47,High,49,Visual,1,No
S01836,29,Male,Undergraduate,Python Basics,426,2,98,20,44,Medium,96,Reading/Writing,4,No
S01837,20,Male,Postgraduate,Data Science,184,3,31,42,96,High,47,Reading/Writing,1,No
S01838,28,Female,High School,Machine Learning,458,1,50,35,42,Medium,69,Auditory,4,No
S01839,24,Male,High School,Web Development,364,1,90,2,70,Medium,66,Auditory,1,No
S01840,17,Male,Undergraduate,Web Development,332,2,82,32,47,High,37,Auditory,2,Yes
S01841,44,Male,High School,Web Development,394,4,32,34,95,Medium,40,Reading/Writing,1,No
S01842,28,Female,Postgraduate,Data Science,390,2,31,32,45,High,78,Visual,3,No
S01843,47,Female,Undergraduate,Machine Learning,60,1,44,6,48,Medium,95,Auditory,4,No
S01844,28,Other,Undergraduate,Python Basics,235,3,93,25,95,Medium,35,Reading/Writing,4,Yes
S01845,19,Female,Undergraduate,Machine Learning,434,3,84,37,90,Low,72,Reading/Writing,4,Yes
S01846,40,Male,Undergraduate,Machine Learning,190,2,41,19,45,Medium,46,Visual,2,No
S01847,40,Female,Undergraduate,Machine Learning,84,3,30,11,60,Medium,94,Kinesthetic,4,No
S01848,40,Male,High School,Web Development,200,4,60,21,41,High,43,Kinesthetic,4,Yes
S01849,29,Female,Undergraduate,Machine Learning,245,3,64,30,72,Low,39,Visual,2,No
S01850,16,Female,Undergraduate,Python Basics,341,4,62,25,86,Medium,90,Reading/Writing,4,No
S01851,39,Male,High School,Machine Learning,272,2,38,19,76,High,75,Kinesthetic,1,No
S01852,19,Female,High School,Web Development,484,4,49,39,83,High,54,Reading/Writing,5,No
S01853,41,Male,Undergraduate,Cybersecurity,12,2,65,33,43,Medium,56,Kinesthetic,3,No
S01854,49,Female,Undergraduate,Python Basics,466,1,57,41,61,Low,35,Visual,4,No
S01855,29,Male,Undergraduate,Cybersecurity,138,1,84,31,45,Low,56,Auditory,2,No
S01856,31,Female,High School,Cybersecurity,383,4,72,7,86,Medium,49,Reading/Writing,1,No
S01857,33,Female,High School,Web Development,48,1,62,42,50,Low,39,Reading/Writing,5,No
S01858,26,Female,Undergraduate,Data Science,123,2,34,3,64,High,98,Reading/Writing,5,No
S01859,20,Female,Undergraduate,Cybersecurity,250,3,84,41,93,High,87,Visual,4,No
S01860,26,Male,Undergraduate,Web Development,189,3,92,29,46,Medium,42,Kinesthetic,1,No
S01861,43,Male,Undergraduate,Cybersecurity,391,1,81,27,63,Medium,50,Auditory,2,No
S01862,44,Male,Undergraduate,Python Basics,420,4,73,49,71,High,95,Visual,4,No
S01863,35,Male,Postgraduate,Python Basics,98,1,99,16,89,High,45,Visual,4,No
S01864,18,Male,Postgraduate,Machine Learning,294,3,91,8,51,Low,46,Visual,1,No
S01865,37,Male,Undergraduate,Python Basics,161,3,68,7,78,High,66,Reading/Writing,1,No
S01866,39,Female,High School,Python Basics,123,1,43,33,96,High,82,Visual,3,No
S01867,44,Male,Undergraduate,Web Development,77,3,81,17,79,Medium,80,Kinesthetic,2,No
S01868,39,Male,Undergraduate,Data Science,131,4,56,27,69,Medium,69,Kinesthetic,3,No
S01869,20,Female,Undergraduate,Web Development,215,4,51,10,77,Medium,58,Auditory,5,No
S01870,41,Male,Postgraduate,Cybersecurity,166,3,83,32,80,High,65,Visual,5,No
S01871,47,Female,Undergraduate,Cybersecurity,407,1,31,31,92,Medium,43,Reading/Writing,1,No
S01872,16,Male,Undergraduate,Machine Learning,492,4,78,35,72,Medium,46,Auditory,5,No
S01873,25,Female,Undergraduate,Python Basics,110,2,37,0,96,Medium,60,Visual,5,No
S01874,33,Female,High School,Web Development,226,4,49,48,56,Medium,54,Visual,2,No
S01875,39,Male,Undergraduate,Cybersecurity,425,2,85,29,91,Medium,92,Reading/Writing,2,No
S01876,46,Female,Undergraduate,Data Science,123,3,34,37,85,Medium,43,Auditory,1,No
S01877,30,Female,Undergraduate,Cybersecurity,272,3,37,45,82,Low,73,Visual,5,Yes
S01878,20,Male,Undergraduate,Cybersecurity,399,4,68,40,40,Medium,72,Visual,5,No
S01879,20,Male,Postgraduate,Python Basics,92,3,68,12,84,Low,66,Visual,1,No
S01880,37,Female,Undergraduate,Data Science,176,3,93,15,46,High,47,Visual,3,No
S01881,45,Male,Undergraduate,Data Science,322,4,90,29,78,High,30,Kinesthetic,1,No
S01882,15,Male,Undergraduate,Python Basics,461,1,49,30,53,Medium,31,Kinesthetic,3,No
S01883,24,Male,Postgraduate,Python Basics,303,2,93,4,49,Medium,37,Auditory,1,Yes
S01884,42,Male,Postgraduate,Cybersecurity,93,4,34,17,55,Medium,93,Kinesthetic,5,No
S01885,15,Female,High School,Web Development,87,2,55,38,64,Medium,96,Visual,2,No
S01886,15,Male,Undergraduate,Python Basics,176,2,43,29,46,Low,44,Auditory,1,No
S01887,33,Male,High School,Data Science,85,3,50,6,80,Medium,73,Auditory,3,No
S01888,29,Male,Undergraduate,Cybersecurity,280,4,55,22,82,High,62,Auditory,5,Yes
S01889,15,Male,Postgraduate,Cybersecurity,398,3,53,32,71,High,95,Visual,4,No
S01890,27,Male,Postgraduate,Data Science,344,4,78,6,48,Medium,83,Auditory,3,Yes
S01891,21,Female,Undergraduate,Cybersecurity,419,4,81,28,64,Medium,66,Auditory,5,No
S01892,38,Female,Undergraduate,Cybersecurity,457,2,31,11,46,Low,38,Reading/Writing,4,No
S01893,15,Male,Postgraduate,Web Development,240,4,88,45,75,High,65,Auditory,1,No
S01894,43,Male,Postgraduate,Python Basics,342,3,83,19,49,High,98,Auditory,1,No
S01895,30,Male,Undergraduate,Web Development,158,1,57,18,53,Medium,58,Visual,4,No
S01896,24,Female,Undergraduate,Data Science,160,2,36,26,98,Low,37,Visual,5,Yes
S01897,34,Male,High School,Python Basics,297,3,71,5,54,Medium,37,Reading/Writing,5,No
S01898,48,Female,Undergraduate,Web Development,88,3,42,22,85,High,40,Auditory,5,No
S01899,23,Other,Postgraduate,Cybersecurity,321,2,30,17,90,Low,44,Reading/Writing,5,No
S01900,44,Female,High School,Web Development,242,2,42,12,58,High,93,Kinesthetic,4,No
S01901,29,Male,High School,Python Basics,418,1,39,23,96,High,98,Visual,1,No
S01902,36,Female,Undergraduate,Python Basics,354,3,53,49,95,Low,85,Reading/Writing,5,No
S01903,25,Female,High School,Data Science,252,1,78,26,99,Medium,58,Reading/Writing,4,No
S01904,29,Female,Undergraduate,Cybersecurity,231,1,82,8,60,Medium,47,Visual,5,Yes
S01905,41,Male,Undergraduate,Machine Learning,233,4,37,26,48,Medium,65,Visual,1,No
S01906,21,Other,Postgraduate,Cybersecurity,123,1,94,41,87,Medium,70,Reading/Writing,2,No
S01907,23,Female,Undergraduate,Python Basics,321,3,87,2,81,High,48,Reading/Writing,3,No
S01908,42,Female,Undergraduate,Python Basics,33,3,80,40,55,High,66,Reading/Writing,4,No
S01909,37,Male,Undergraduate,Web Development,136,2,86,46,62,Medium,55,Auditory,5,No
S01910,17,Female,Postgraduate,Web Development,471,1,39,12,92,Medium,82,Auditory,4,No
S01911,31,Male,Undergraduate,Cybersecurity,280,1,35,31,61,High,33,Reading/Writing,5,No
S01912,45,Male,High School,Data Science,100,3,66,12,83,High,35,Kinesthetic,4,No
S01913,15,Male,Undergraduate,Machine Learning,468,1,67,17,76,Medium,38,Reading/Writing,5,No
S01914,29,Female,High School,Python Basics,71,3,93,10,52,Medium,51,Kinesthetic,3,No
S01915,31,Male,Undergraduate,Data Science,478,4,54,39,53,Medium,76,Visual,5,No
S01916,35,Male,Undergraduate,Web Development,393,1,96,48,44,Medium,58,Kinesthetic,5,No
S01917,28,Other,Undergraduate,Python Basics,81,2,66,44,40,Medium,91,Kinesthetic,1,Yes
S01918,17,Male,High School,Web Development,478,3,88,20,50,Medium,80,Auditory,4,Yes
S01919,30,Female,Postgraduate,Python Basics,281,3,69,28,66,High,51,Kinesthetic,2,No
S01920,26,Male,Postgraduate,Python Basics,411,2,46,33,66,Medium,60,Reading/Writing,5,No
S01921,46,Male,Undergraduate,Data Science,256,3,94,38,75,Medium,33,Visual,1,Yes
S01922,31,Female,Undergraduate,Python Basics,182,1,89,13,59,Medium,65,Reading/Writing,1,No
S01923,48,Male,Undergraduate,Data Science,324,4,38,23,52,Medium,34,Visual,5,No
S01924,40,Male,High School,Data Science,438,3,68,40,70,Medium,72,Reading/Writing,1,No
S01925,19,Female,Undergraduate,Web Development,41,1,86,19,71,Medium,91,Auditory,1,No
S01926,43,Male,Undergraduate,Data Science,15,1,79,29,58,Medium,78,Auditory,1,No
S01927,28,Female,High School,Data Science,353,2,72,43,41,Medium,52,Reading/Writing,3,No
S01928,25,Other,Undergraduate,Cybersecurity,362,2,91,6,62,Medium,37,Kinesthetic,1,No
S01929,46,Female,High School,Cybersecurity,133,4,51,31,77,Low,37,Visual,1,No
S01930,41,Female,Undergraduate,Data Science,59,3,97,39,97,Medium,92,Auditory,2,Yes
S01931,21,Female,Postgraduate,Cybersecurity,230,1,66,3,87,High,67,Auditory,5,No
S01932,43,Male,High School,Machine Learning,137,4,33,22,61,Medium,77,Auditory,5,No
S01933,24,Female,High School,Data Science,299,4,54,21,86,High,48,Reading/Writing,2,Yes
S01934,18,Male,Postgraduate,Web Development,436,1,88,5,85,Medium,84,Auditory,4,No
S01935,49,Female,Undergraduate,Web Development,27,2,57,34,72,Medium,56,Kinesthetic,4,No
S01936,35,Other,Postgraduate,Cybersecurity,449,1,73,40,80,High,75,Auditory,4,No
S01937,28,Female,Postgraduate,Python Basics,29,4,62,29,90,High,50,Auditory,1,Yes
S01938,22,Male,Postgraduate,Machine Learning,132,1,84,15,70,High,48,Reading/Writing,5,No
S01939,20,Male,Postgraduate,Cybersecurity,498,3,99,46,71,Medium,38,Auditory,5,No
S01940,27,Female,Postgraduate,Web Development,308,1,60,47,72,Medium,93,Auditory,1,Yes
S01941,45,Male,High School,Cybersecurity,266,3,77,5,73,High,57,Visual,1,No
S01942,38,Male,High School,Machine Learning,168,1,66,48,51,High,78,Kinesthetic,1,No
S01943,42,Male,Undergraduate,Machine Learning,436,4,89,46,89,High,89,Auditory,3,No
S01944,16,Female,Postgraduate,Data Science,40,2,30,29,95,Medium,53,Auditory,3,Yes
S01945,28,Female,Undergraduate,Data Science,364,3,69,47,51,High,34,Reading/Writing,2,No
S01946,29,Female,Undergraduate,Data Science,480,1,96,10,51,Low,60,Reading/Writing,4,Yes
S01947,26,Male,Undergraduate,Cybersecurity,208,4,76,6,55,Medium,63,Auditory,2,No
S01948,40,Female,Undergraduate,Web Development,55,2,61,45,73,Medium,35,Reading/Writing,3,No
S01949,41,Male,Undergraduate,Cybersecurity,165,3,88,4,87,Medium,54,Auditory,2,Yes
S01950,49,Male,Postgraduate,Cybersecurity,384,1,79,45,81,High,60,Kinesthetic,2,No
S01951,15,Female,Postgraduate,Machine Learning,410,3,79,0,93,High,96,Auditory,3,No
S01952,44,Male,Undergraduate,Machine Learning,385,2,86,3,64,High,95,Visual,4,Yes
S01953,47,Male,Undergraduate,Machine Learning,257,1,83,16,63,High,94,Reading/Writing,4,No
S01954,46,Male,Undergraduate,Machine Learning,55,1,94,37,42,High,94,Kinesthetic,2,No
S01955,45,Male,High School,Machine Learning,277,4,98,17,55,Low,46,Kinesthetic,4,No
S01956,47,Male,High School,Data Science,231,1,78,16,80,High,98,Auditory,4,No
S01957,20,Female,Postgraduate,Cybersecurity,336,1,50,24,67,Low,33,Visual,5,No
S01958,27,Female,High School,Python Basics,306,1,44,20,74,Medium,75,Kinesthetic,2,No
S01959,37,Female,Undergraduate,Data Science,150,3,43,9,70,Medium,58,Auditory,4,No
S01960,49,Female,High School,Web Development,391,4,96,6,71,High,51,Visual,3,Yes
S01961,48,Female,Undergraduate,Python Basics,85,3,72,31,91,Medium,57,Kinesthetic,3,No
S01962,43,Female,High School,Web Development,270,4,48,42,77,Medium,58,Kinesthetic,1,No
S01963,39,Female,Postgraduate,Python Basics,131,4,64,47,59,Low,57,Kinesthetic,5,Yes
S01964,21,Female,Undergraduate,Web Development,64,4,36,19,83,High,88,Auditory,5,No
S01965,21,Female,Undergraduate,Data Science,272,4,55,38,72,High,74,Visual,1,No
S01966,44,Male,High School,Cybersecurity,220,2,70,29,89,Medium,58,Reading/Writing,4,No
S01967,28,Male,High School,Web Development,489,2,43,5,78,Low,43,Reading/Writing,3,No
S01968,29,Female,High School,Data Science,202,1,93,41,47,Medium,65,Reading/Writing,1,No
S01969,37,Female,Postgraduate,Machine Learning,185,2,40,8,60,High,84,Auditory,3,No
S01970,29,Female,Undergraduate,Python Basics,351,3,44,40,45,Medium,70,Auditory,5,No
S01971,41,Female,Undergraduate,Machine Learning,53,4,79,22,48,High,88,Visual,2,No
S01972,16,Female,High School,Data Science,257,1,66,3,68,Medium,41,Kinesthetic,3,No
S01973,48,Other,Undergraduate,Python Basics,172,4,60,27,68,Medium,46,Reading/Writing,2,No
S01974,34,Male,High School,Web Development,56,4,46,29,84,Medium,92,Auditory,3,Yes
S01975,36,Female,Postgraduate,Data Science,465,1,99,19,93,Medium,86,Auditory,4,No
S01976,45,Female,High School,Data Science,147,1,31,22,91,Medium,89,Visual,1,No
S01977,26,Female,Undergraduate,Cybersecurity,379,4,50,6,74,High,68,Auditory,2,Yes
S01978,24,Female,High School,Cybersecurity,396,1,39,5,47,Medium,61,Reading/Writing,2,No
S01979,37,Female,High School,Machine Learning,119,4,82,7,49,Medium,94,Kinesthetic,2,No
S01980,17,Male,Undergraduate,Cybersecurity,484,3,75,9,43,High,73,Kinesthetic,5,No
S01981,34,Male,Postgraduate,Data Science,248,3,55,32,86,Medium,38,Reading/Writing,2,No
S01982,20,Male,Postgraduate,Cybersecurity,482,1,61,26,69,Medium,39,Reading/Writing,4,No
S01983,40,Female,Postgraduate,Machine Learning,450,1,94,26,55,Medium,89,Auditory,2,No
S01984,36,Male,High School,Machine Learning,333,1,41,23,67,High,69,Visual,1,No
S01985,30,Female,Undergraduate,Machine Learning,162,4,46,14,62,Medium,34,Auditory,2,No
S01986,35,Male,Undergraduate,Machine Learning,432,3,53,37,40,Low,48,Reading/Writing,1,No
S01987,35,Male,Undergraduate,Python Basics,426,1,58,47,44,Medium,53,Reading/Writing,3,No
S01988,43,Female,Postgraduate,Cybersecurity,231,2,41,34,98,Medium,44,Kinesthetic,2,No
S01989,24,Male,Postgraduate,Web Development,445,4,70,0,64,High,75,Reading/Writing,5,No
S01990,24,Female,Undergraduate,Data Science,180,4,79,42,49,Medium,63,Kinesthetic,4,No
S01991,39,Female,Undergraduate,Machine Learning,152,4,49,29,44,Low,50,Visual,5,No
S01992,34,Female,Undergraduate,Python Basics,466,4,85,45,85,Low,43,Reading/Writing,2,No
S01993,39,Male,Undergraduate,Web Development,100,4,78,0,98,Low,36,Visual,1,No
S01994,40,Male,Undergraduate,Python Basics,361,3,38,44,43,Low,88,Reading/Writing,2,No
S01995,45,Male,Postgraduate,Machine Learning,231,2,94,28,93,High,58,Visual,1,Yes
S01996,37,Male,Undergraduate,Cybersecurity,26,4,71,22,64,Low,90,Visual,4,No
S01997,25,Male,Undergraduate,Machine Learning,71,1,87,32,76,Low,97,Reading/Writing,3,No
S01998,30,Male,Postgraduate,Web Development,164,1,37,14,47,High,44,Auditory,4,Yes
S01999,47,Female,Undergraduate,Data Science,70,4,81,0,44,Medium,51,Reading/Writing,2,No
S02000,24,Male,Undergraduate,Cybersecurity,356,3,34,37,72,High,69,Reading/Writing,5,No
S02001,49,Male,Undergraduate,Machine Learning,426,4,62,40,42,Medium,66,Visual,1,No
S02002,17,Male,Undergraduate,Python Basics,99,4,95,0,67,Medium,45,Visual,1,No
S02003,32,Female,Undergraduate,Cybersecurity,425,2,98,21,89,Medium,78,Reading/Writing,5,Yes
S02004,33,Male,Undergraduate,Web Development,468,1,79,46,63,Medium,49,Visual,5,Yes
S02005,32,Female,Postgraduate,Machine Learning,83,4,33,45,48,High,41,Visual,1,No
S02006,49,Male,Undergraduate,Python Basics,187,1,85,48,43,Low,49,Visual,2,No
S02007,36,Female,Postgraduate,Cybersecurity,303,1,81,21,76,Medium,60,Auditory,2,No
S02008,35,Male,Undergraduate,Data Science,404,2,60,45,51,Medium,34,Visual,3,Yes
S02009,38,Female,Undergraduate,Cybersecurity,51,2,96,18,97,High,46,Kinesthetic,4,No
S02010,32,Female,Postgraduate,Cybersecurity,56,1,45,15,70,Medium,78,Auditory,3,Yes
S02011,49,Female,Postgraduate,Data Science,422,2,85,12,89,Low,95,Kinesthetic,2,No
S02012,19,Male,Postgraduate,Python Basics,172,2,35,1,54,Medium,58,Reading/Writing,4,No
S02013,23,Female,Undergraduate,Data Science,114,1,74,1,69,Low,55,Auditory,5,No
S02014,45,Female,Undergraduate,Cybersecurity,304,1,61,0,70,Medium,89,Auditory,4,No
S02015,37,Female,Undergraduate,Machine Learning,255,3,96,41,84,Low,85,Auditory,1,No
S02016,34,Male,Undergraduate,Web Development,83,2,74,38,66,Medium,65,Kinesthetic,4,No
S02017,30,Female,Postgraduate,Cybersecurity,11,2,69,19,51,Medium,64,Kinesthetic,3,No
S02018,30,Female,Undergraduate,Web Development,305,2,64,28,84,Medium,35,Visual,1,Yes
S02019,34,Female,Postgraduate,Machine Learning,23,4,93,15,51,Medium,45,Kinesthetic,3,No
S02020,45,Female,Postgraduate,Data Science,426,3,66,12,41,High,89,Reading/Writing,4,Yes
S02021,44,Male,High School,Python Basics,33,1,34,15,65,High,62,Auditory,5,Yes
S02022,26,Male,High School,Web Development,267,4,58,26,80,Medium,92,Visual,5,No
S02023,42,Male,Undergraduate,Cybersecurity,104,4,58,11,69,Medium,92,Visual,3,No
S02024,34,Female,High School,Cybersecurity,244,2,88,35,76,Medium,30,Reading/Writing,2,No
S02025,41,Female,High School,Machine Learning,440,3,93,38,52,Medium,72,Reading/Writing,2,No
S02026,37,Female,Undergraduate,Python Basics,31,1,51,30,65,Medium,38,Reading/Writing,4,No
S02027,23,Male,Postgraduate,Web Development,170,3,60,47,94,Medium,68,Reading/Writing,2,No
S02028,26,Male,Undergraduate,Cybersecurity,403,2,94,27,44,Medium,89,Kinesthetic,5,No
S02029,49,Male,Undergraduate,Machine Learning,289,4,60,2,90,Medium,87,Kinesthetic,5,No
S02030,30,Female,High School,Cybersecurity,377,3,55,24,94,High,35,Reading/Writing,4,No
S02031,32,Female,High School,Web Development,317,2,33,46,59,Medium,81,Visual,4,No
S02032,27,Female,Postgraduate,Machine Learning,264,2,93,27,91,Medium,35,Kinesthetic,4,No
S02033,43,Female,High School,Python Basics,325,1,52,41,98,Low,66,Kinesthetic,1,No
S02034,22,Male,Undergraduate,Web Development,124,2,60,1,76,High,99,Visual,1,No
S02035,39,Male,High School,Data Science,305,1,91,16,50,Medium,56,Visual,2,No
S02036,39,Female,Undergraduate,Cybersecurity,404,2,70,33,86,Medium,50,Auditory,5,No
S02037,35,Male,Postgraduate,Machine Learning,31,1,93,44,97,High,97,Auditory,3,No
S02038,26,Female,Undergraduate,Machine Learning,421,4,78,34,70,High,93,Kinesthetic,5,No
S02039,49,Female,Undergraduate,Data Science,301,1,70,39,46,Medium,96,Auditory,5,Yes
S02040,35,Male,High School,Machine Learning,165,4,56,21,44,Medium,66,Reading/Writing,4,No
S02041,26,Male,Undergraduate,Python Basics,121,3,70,7,79,Medium,99,Kinesthetic,5,No
S02042,49,Female,Undergraduate,Cybersecurity,164,3,75,5,90,High,52,Reading/Writing,3,No
S02043,25,Female,High School,Cybersecurity,372,1,55,15,83,Medium,45,Visual,4,No
S02044,31,Male,High School,Data Science,213,2,67,14,82,Medium,74,Kinesthetic,3,No
S02045,26,Female,Postgraduate,Data Science,103,3,46,24,56,High,93,Visual,5,No
S02046,41,Male,Undergraduate,Cybersecurity,330,2,63,33,76,Medium,98,Visual,3,No
S02047,35,Male,Undergraduate,Python Basics,62,3,40,1,86,High,74,Kinesthetic,4,No
S02048,40,Male,High School,Machine Learning,176,4,81,3,96,High,85,Reading/Writing,1,No
S02049,25,Male,Undergraduate,Machine Learning,361,3,36,49,56,Medium,87,Visual,1,Yes
S02050,34,Male,High School,Web Development,142,1,87,34,44,High,65,Auditory,1,No
S02051,21,Male,High School,Python Basics,201,4,87,17,63,High,80,Auditory,1,No
S02052,39,Female,High School,Data Science,42,3,58,27,88,Medium,55,Auditory,3,No
S02053,15,Female,Undergraduate,Python Basics,402,4,50,1,79,Medium,66,Visual,4,No
S02054,49,Female,Undergraduate,Web Development,483,1,45,28,57,Medium,96,Reading/Writing,2,Yes
S02055,40,Female,Undergraduate,Web Development,322,4,61,6,43,Medium,41,Visual,3,No
S02056,35,Female,Undergraduate,Python Basics,23,2,70,7,76,Low,50,Reading/Writing,1,No
S02057,21,Other,Undergraduate,Cybersecurity,265,2,93,15,74,Low,72,Visual,4,No
